sequence,method,seed,num_outages,poserr_rms,first3_nis_seed_mean
UZH_Indoor45_9_davis,Baseline,0,1,5.888752127056393,0.087418865492238
UZH_Indoor45_9_davis,Baseline,1,1,0.9132838165538638,0.035500023408514075
UZH_Indoor45_9_davis,Baseline,2,1,5.888752127056393,0.087418865492238
UZH_Indoor45_9_davis,Baseline,3,1,4.446653085282653,0.0886156728330329
UZH_Indoor45_9_davis,Baseline,4,1,0.545477591689196,0.023049748525435437
UZH_Indoor45_9_davis,Baseline,5,1,1.008448275205737,0.022105240458417615
UZH_Indoor45_9_davis,Baseline,6,1,3.783320469156044,0.07469148175577354
UZH_Indoor45_9_davis,Baseline,7,1,0.9549206913574165,0.024766798600820338
UZH_Indoor45_9_davis,Baseline,8,1,1.189265260140951,0.04730874680415554
UZH_Indoor45_9_davis,Baseline,9,1,5.888752127056393,0.087418865492238
UZH_Indoor45_9_davis,Ours,0,1,2.7638455172793392,0.04385202718142038
UZH_Indoor45_9_davis,Ours,1,1,3.0137292968061806,0.3229017256648636
UZH_Indoor45_9_davis,Ours,2,1,2.7638455172793392,0.04385202718142038
UZH_Indoor45_9_davis,Ours,3,1,2.1894150107188413,0.03319510099205607
UZH_Indoor45_9_davis,Ours,4,1,2.0698888264490662,0.12383512227778683
UZH_Indoor45_9_davis,Ours,5,1,1.5112282315210084,0.11809535817556799
UZH_Indoor45_9_davis,Ours,6,1,1.4232115866215835,0.04294597188293056
UZH_Indoor45_9_davis,Ours,7,1,3.5060195901298687,0.2549281636343647
UZH_Indoor45_9_davis,Ours,8,1,4.06163654621439,0.6285205611741977
UZH_Indoor45_9_davis,Ours,9,1,2.7638455172793392,0.04385202718142038
UZH_Indoorforward_9_davis,Baseline,0,1,8.300183916105075,0.24252533632376586
UZH_Indoorforward_9_davis,Baseline,1,1,13.215396796266164,1.3170612188073036
UZH_Indoorforward_9_davis,Baseline,2,1,7.2996873035904315,0.2521611496332779
UZH_Indoorforward_9_davis,Baseline,3,1,6.283072482562384,0.2538166335606012
UZH_Indoorforward_9_davis,Baseline,4,1,12.742066646159762,0.6132676138964189
UZH_Indoorforward_9_davis,Baseline,5,1,7.683599581352418,0.42952466919549254
UZH_Indoorforward_9_davis,Baseline,6,1,8.739351872780535,0.3415126883280262
UZH_Indoorforward_9_davis,Baseline,7,1,10.28081084652952,0.5740207650979752
UZH_Indoorforward_9_davis,Baseline,8,1,12.962778120687405,2.4933459028554603
UZH_Indoorforward_9_davis,Baseline,9,1,10.6335751545186,0.23427493289023876
UZH_Indoorforward_9_davis,Ours,0,1,6.502767044538341,0.09336159539548085
UZH_Indoorforward_9_davis,Ours,1,1,1.0899203087927536,0.04591284504821507
UZH_Indoorforward_9_davis,Ours,2,1,5.659141268736441,0.11172498629841975
UZH_Indoorforward_9_davis,Ours,3,1,4.9504385992014575,0.09719538250897967
UZH_Indoorforward_9_davis,Ours,4,1,7.239669440968097,0.10892121933336756
UZH_Indoorforward_9_davis,Ours,5,1,2.7709322886061907,0.04096329416104535
UZH_Indoorforward_9_davis,Ours,6,1,5.714087107860796,0.12449409254106628
