sequence,method,seed,window_idx,outage_start_s,outage_end_s,outage_duration_s,first3_nis
UZH_Indoor45_9_davis,Baseline,0,0,4.442638727592906,11.07960041491436,6.636961687321454,0.087418865492238
UZH_Indoor45_9_davis,Baseline,1,0,13.247422450488019,19.759244075188278,6.511821624700259,0.035500023408514075
UZH_Indoor45_9_davis,Baseline,2,0,4.920962818346212,11.182574952595528,6.261612134249316,0.087418865492238
UZH_Indoor45_9_davis,Baseline,3,0,4.152399332647374,10.238048499790999,6.085649167143625,0.0886156728330329
UZH_Indoor45_9_davis,Baseline,4,0,7.368328805282072,14.31138491085444,6.943056105572367,0.023049748525435437
UZH_Indoor45_9_davis,Baseline,5,0,11.174037044540926,17.97903996828631,6.805002923745382,0.022105240458417615
UZH_Indoor45_9_davis,Baseline,6,0,5.414254457598596,11.95241880907054,6.538164351471944,0.07469148175577354
UZH_Indoor45_9_davis,Baseline,7,0,12.459627604503947,19.084723071108613,6.625095466604666,0.024766798600820338
UZH_Indoor45_9_davis,Baseline,8,0,13.904284354681202,20.23125663128676,6.326972276605559,0.04730874680415554
UZH_Indoor45_9_davis,Baseline,9,0,4.59304709001751,11.463296293987595,6.870249203970085,0.087418865492238
UZH_Indoor45_9_davis,Ours,0,0,4.442638727592906,11.07960041491436,6.636961687321454,0.04385202718142038
UZH_Indoor45_9_davis,Ours,1,0,13.247422450488019,19.759244075188278,6.511821624700259,0.3229017256648636
UZH_Indoor45_9_davis,Ours,2,0,4.920962818346212,11.182574952595528,6.261612134249316,0.04385202718142038
UZH_Indoor45_9_davis,Ours,3,0,4.152399332647374,10.238048499790999,6.085649167143625,0.03319510099205607
UZH_Indoor45_9_davis,Ours,4,0,7.368328805282072,14.31138491085444,6.943056105572367,0.12383512227778683
UZH_Indoor45_9_davis,Ours,5,0,11.174037044540926,17.97903996828631,6.805002923745382,0.11809535817556799
UZH_Indoor45_9_davis,Ours,6,0,5.414254457598596,11.95241880907054,6.538164351471944,0.04294597188293056
UZH_Indoor45_9_davis,Ours,7,0,12.459627604503947,19.084723071108613,6.625095466604666,0.2549281636343647
UZH_Indoor45_9_davis,Ours,8,0,13.904284354681202,20.23125663128676,6.326972276605559,0.6285205611741977
UZH_Indoor45_9_davis,Ours,9,0,4.59304709001751,11.463296293987595,6.870249203970085,0.04385202718142038
UZH_Indoorforward_9_davis,Baseline,0,0,5.7645473512187255,14.90150903854018,9.136961687321454,0.24252533632376586
UZH_Indoorforward_9_davis,Baseline,1,0,17.904531538951908,26.916353163652165,9.011821624700257,1.3170612188073036
UZH_Indoorforward_9_davis,Baseline,2,0,6.383518223874497,15.145130358123815,8.761612134249319,0.2521611496332779
UZH_Indoorforward_9_davis,Baseline,3,0,5.312730197230171,13.898379364373795,8.585649167143625,0.2538166335606012
UZH_Indoorforward_9_davis,Baseline,4,0,9.873746111170586,19.316802216742953,9.443056105572367,0.6132676138964189
UZH_Indoorforward_9_davis,Baseline,5,0,15.132808336245489,24.43781125999087,9.30500292374538,0.42952466919549254
UZH_Indoorforward_9_davis,Baseline,6,0,7.096222841864365,16.13438719333631,9.038164351471945,0.3415126883280262
UZH_Indoorforward_9_davis,Baseline,7,0,16.855821339143723,25.980916805748393,9.12509546660467,0.5740207650979752
UZH_Indoorforward_9_davis,Baseline,8,0,18.74177154931287,27.568743825918432,8.826972276605563,2.4933459028554603
UZH_Indoorforward_9_davis,Baseline,9,0,5.998402219658829,15.368651423628915,9.370249203970086,0.23427493289023876
UZH_Indoorforward_9_davis,Ours,0,0,5.7645473512187255,14.90150903854018,9.136961687321454,0.09336159539548085
UZH_Indoorforward_9_davis,Ours,1,0,17.904531538951908,26.916353163652165,9.011821624700257,0.04591284504821507
UZH_Indoorforward_9_davis,Ours,2,0,6.383518223874497,15.145130358123815,8.761612134249319,0.11172498629841975
UZH_Indoorforward_9_davis,Ours,3,0,5.312730197230171,13.898379364373795,8.585649167143625,0.09719538250897967
UZH_Indoorforward_9_davis,Ours,4,0,9.873746111170586,19.316802216742953,9.443056105572367,0.10892121933336756
UZH_Indoorforward_9_davis,Ours,5,0,15.132808336245489,24.43781125999087,9.30500292374538,0.04096329416104535
UZH_Indoorforward_9_davis,Ours,6,0,7.096222841864365,16.13438719333631,9.038164351471945,0.12449409254106628
UZH_Indoorforward_9_davis,Ours,7,0,16.855821339143723,25.980916805748393,9.12509546660467,0.0317269331992725
UZH_Indoorforward_9_davis,Ours,8,0,18.74177154931287,27.568743825918432,8.826972276605563,0.06562131189636053
UZH_Indoorforward_9_davis,Ours,9,0,5.998402219658829,15.368651423628915,9.370249203970086,0.08819160280689442
UZH_Outdoor45_1_davis,Baseline,0,0,4.064907975529029,10.701869662850484,6.636961687321455,0.0760276805428196
UZH_Outdoor45_1_davis,Baseline,1,0,11.916669865181547,18.428491489881804,6.511821624700257,0.3354962234034913
UZH_Outdoor45_1_davis,Baseline,2,0,4.503042741730036,10.764654875979353,6.261612134249317,0.0760276805428196
UZH_Outdoor45_1_davis,Baseline,3,0,3.8208388584297164,9.90648802557334,6.0856491671436235,0.04609094728036778
UZH_Outdoor45_1_davis,Baseline,4,0,6.652414598904219,13.595470704476586,6.943056105572367,0.13241639890208004
UZH_Outdoor45_1_davis,Baseline,5,0,10.04283203495191,16.84783495869729,6.805002923745381,0.19060648097809446
UZH_Outdoor45_1_davis,Baseline,6,0,4.933637891989287,11.47180224346123,6.538164351471943,0.0603926866533664
UZH_Outdoor45_1_davis,Baseline,7,0,11.203430666284994,17.82852613288966,6.625095466604666,0.21523841099993335
UZH_Outdoor45_1_davis,Baseline,8,0,12.52198935828755,18.84896163489311,6.326972276605561,0.28078800526976344
UZH_Outdoor45_1_davis,Baseline,9,0,4.191471791582583,11.061720995552669,6.8702492039700855,0.0603926866533664
UZH_Outdoor45_1_davis,Ours,0,0,4.064907975529029,10.701869662850484,6.636961687321455,0.25298717972118223
UZH_Outdoor45_1_davis,Ours,1,0,11.916669865181547,18.428491489881804,6.511821624700257,1.0151269902043567
UZH_Outdoor45_1_davis,Ours,2,0,4.503042741730036,10.764654875979353,6.261612134249317,0.25298717972118223
UZH_Outdoor45_1_davis,Ours,3,0,3.8208388584297164,9.90648802557334,6.0856491671436235,0.14047397440030768
UZH_Outdoor45_1_davis,Ours,4,0,6.652414598904219,13.595470704476586,6.943056105572367,0.37810605641012757
UZH_Outdoor45_1_davis,Ours,5,0,10.04283203495191,16.84783495869729,6.805002923745381,0.5000082820182755
UZH_Outdoor45_1_davis,Ours,6,0,4.933637891989287,11.47180224346123,6.538164351471943,0.21318765775759144
UZH_Outdoor45_1_davis,Ours,7,0,11.203430666284994,17.82852613288966,6.625095466604666,0.5171191873375097
UZH_Outdoor45_1_davis,Ours,8,0,12.52198935828755,18.84896163489311,6.326972276605561,0.6923286281775785
UZH_Outdoor45_1_davis,Ours,9,0,4.191471791582583,11.061720995552669,6.8702492039700855,0.21318765775759144
UZH_Outdoorforward_3_davis,Baseline,0,0,2.2421598067632926,10.783133330699489,8.540973523936195,0.010444874478876839
UZH_Outdoorforward_3_davis,Baseline,0,1,21.115444722970526,30.252406410291982,9.136961687321456,0.7078657295598816
UZH_Outdoorforward_3_davis,Baseline,0,2,68.89462773168117,78.20789797088145,9.313270239200278,0.24708388595439554
UZH_Outdoorforward_3_davis,Baseline,1,0,3.057230319482824,12.106824007155883,9.04959368767306,0.005645602334286599
UZH_Outdoorforward_3_davis,Baseline,1,1,32.70108746423706,41.51291891624755,8.811831452010487,0.49008568856885604
UZH_Outdoorforward_3_davis,Baseline,1,2,71.98603338283274,80.997855007533,9.01182162470026,0.28027618996224013
UZH_Outdoorforward_3_davis,Baseline,2,0,7.837009453267566,17.151235193861844,9.314225740594278,0.17898996444657234
UZH_Outdoorforward_3_davis,Baseline,2,1,23.367701191971012,32.12931332622033,8.761612134249315,0.39543369182133
UZH_Outdoorforward_3_davis,Baseline,2,2,55.34872637150688,64.44882689747253,9.100100525965651,0.9620835042092388
